Timestamp,User name,Task type,Start time,End time,Difficulty
9/22/2025 10:07:58,khq,Work,5:00:00 PM,6:00:00 PM,1
9/22/2025 10:40:41,zjh,Rest,10:00:00 AM,10:30:00 AM,1
9/22/2025 10:41:23,syc,Work,9:00:00 AM,10:15:00 AM,3
9/22/2025 10:45:52,zyx,Work,9:00:00 AM,10:20:00 AM,2
9/22/2025 10:47:21,zyx,Rest,10:20:00 AM,10:50:00 AM,1
9/22/2025 10:48:16,syc,Rest,10:15:00 AM,10:45:00 AM,1
9/22/2025 11:06:32,khq,Rest,12:05:00 PM,1:30:00 PM,1
9/22/2025 13:10:49,zyx,Work,10:20:00 AM,12:00:00 PM,3
9/22/2025 13:11:26,zyx,Food,12:00:00 PM,1:10:00 PM,1
9/22/2025 13:11:34,syc,Food,12:00:00 PM,1:30:00 PM,1
9/22/2025 13:33:05,zjh,Work,10:30:00 AM,12:00:00 PM,2
9/22/2025 13:33:25,zjh,Food,12:00:00 PM,1:30:00 AM,1
9/22/2025 15:45:42,zjh,Work,1:30:00 AM,3:00:00 AM,2
9/22/2025 17:02:35,zjh,Rest,3:00:00 PM,4:45:00 PM,1
9/22/2025 17:56:08,zyx,Work,1:10:00 PM,1:30:00 PM,2
9/22/2025 17:57:21,zyx,Work,2:50:00 PM,3:30:00 PM,2
9/22/2025 17:57:48,zyx,Work,3:50:00 PM,4:30:00 PM,3
9/22/2025 17:58:31,zyx,Fun,5:00:00 PM,6:00:00 PM,2
9/22/2025 17:59:15,zyx,Rest,4:30:00 PM,5:00:00 PM,1
9/22/2025 18:21:48,khq,Food,7:00:00 PM,8:00:00 PM,1
9/22/2025 18:22:34,khq,Rest,6:15:00 PM,7:00:00 PM,1
9/22/2025 18:28:11,zyx,Rest,1:30:00 PM,2:00:00 PM,1
9/22/2025 18:28:44,zyx,Work,2:00:00 PM,2:50:00 PM,2
9/22/2025 18:29:36,zyx,Food,6:00:00 PM,6:30:00 PM,1
9/22/2025 18:30:53,jky,Work,9:00:00 AM,11:30:00 AM,2
9/22/2025 18:31:23,syc,Work,10:45:00 AM,12:00:00 PM,3
9/22/2025 18:31:30,jky,Food,11:30:00 AM,12:00:00 PM,1
9/22/2025 18:31:50,jky,Rest,12:00:00 PM,1:30:00 PM,1
9/22/2025 18:31:52,syc,Work,1:30:00 PM,3:00:00 PM,2
9/22/2025 18:32:17,jky,Work,1:30:00 PM,4:00:00 PM,2
9/22/2025 18:32:25,syc,Rest,3:00:00 PM,3:30:00 PM,1
9/22/2025 18:32:41,jky,Rest,4:00:00 PM,5:00:00 PM,1
9/22/2025 18:33:24,syc,Work,3:30:00 PM,5:00:00 PM,4
9/22/2025 18:33:45,jky,Work,5:00:00 PM,8:00:00 PM,3
9/22/2025 18:33:55,syc,Rest,5:30:00 PM,6:30:00 PM,1
9/22/2025 18:34:04,jky,Fun,8:00:00 PM,11:00:00 PM,1
9/22/2025 18:34:45,jky,Rest,11:00:00 PM,7:00:00 AM,1
9/22/2025 18:59:35,zyx,Work,6:30:00 PM,7:00:00 PM,1
9/22/2025 20:50:09,syc,Work,6:30:00 PM,7:30:00 PM,4
9/22/2025 20:50:47,syc,Food,7:30:00 PM,9:00:00 PM,1
9/22/2025 21:17:39,khq,Work,9:20:00 PM,12:00:00 AM,3
9/22/2025 21:20:24,khq,Work,9:00:00 AM,10:20:00 AM,1
9/22/2025 21:20:40,khq,Rest,10:20:00 AM,10:40:00 AM,1
9/22/2025 21:20:57,khq,Work,10:40:00 AM,12:05:00 AM,1
9/22/2025 21:21:54,khq,Rest,8:00:00 PM,9:20:00 PM,1
9/22/2025 22:21:50,zyx,Fun,7:00:00 PM,8:00:00 PM,1
9/22/2025 22:22:23,zyx,Rest,8:00:00 PM,10:20:00 PM,1
9/22/2025 23:03:10,zjh,Work,4:45:00 AM,10:00:00 AM,4
9/22/2025 23:04:49,zjh,Fun,10:00:00 AM,11:00:00 AM,1
9/23/2025 0:20:49,khq,Work,12:00:00 AM,12:30:00 AM,2
9/23/2025 0:33:51,zyx,Fun,10:20:00 PM,10:40:00 PM,1
9/23/2025 0:34:17,zyx,Fun,10:40:00 PM,11:40:00 AM,4
9/23/2025 0:34:40,zyx,Rest,11:40:00 PM,12:40:00 AM,1
9/23/2025 1:33:07,zyx,Work,12:40:00 AM,1:30:00 AM,3
9/23/2025 2:19:36,zyx,Work,1:30:00 AM,2:20:00 AM,2
9/23/2025 9:11:01,syc,Work,9:00:00 PM,11:00:00 PM,4
9/23/2025 9:11:19,zyx,Fun,2:20:00 AM,4:00:00 AM,1
9/23/2025 9:11:31,syc,Rest,11:00:00 PM,11:30:00 PM,1
9/23/2025 9:11:37,zyx,Rest,4:00:00 AM,8:00:00 AM,1
9/23/2025 9:11:51,khq,Food,12:00:00 PM,1:30:00 PM,1
9/23/2025 9:12:06,zyx,Fun,8:00:00 AM,9:00:00 AM,1
9/23/2025 9:13:18,zjh,Work,11:00:00 AM,12:30:00 PM,1
9/23/2025 9:13:29,syc,Work,11:30:00 PM,12:30:00 AM,4
9/23/2025 9:13:40,zjh,Fun,8:15:00 AM,9:00:00 AM,1
9/23/2025 9:14:18,syc,Fun,12:30:00 AM,1:30:00 AM,1
9/23/2025 10:14:37,khq,Work,9:00:00 AM,10:15:00 AM,1
9/23/2025 10:14:58,zjh,Work,9:00:00 AM,10:15:00 AM,1
9/23/2025 10:14:58,khq,Rest,10:15:00 AM,10:35:00 AM,1
9/23/2025 10:14:59,syc,Work,9:00:00 AM,10:15:00 AM,2
9/23/2025 10:15:55,zyx,Work,9:00:00 AM,10:15:00 AM,1
9/23/2025 10:35:51,zjh,Rest,10:15:00 AM,10:35:00 AM,1
9/23/2025 10:35:52,syc,Rest,10:15:00 AM,10:35:00 AM,1
9/23/2025 10:35:57,zyx,Rest,10:15:00 AM,10:35:00 AM,1
9/23/2025 10:49:06,khq,Work,10:35:00 AM,11:59:00 AM,1
9/23/2025 12:11:15,syc,Work,10:35:00 AM,12:00:00 PM,2
9/23/2025 13:36:40,zjh,Food,12:00:00 PM,1:35:00 AM,1
9/23/2025 14:01:38,zyx,Work,10:35:00 AM,11:50:00 AM,3
9/23/2025 14:02:21,zyx,Food,11:50:00 AM,1:00:00 PM,1
9/23/2025 14:02:44,syc,Food,12:00:00 PM,1:00:00 PM,1
9/23/2025 14:02:49,zyx,Fun,1:00:00 PM,2:00:00 PM,1
9/23/2025 14:02:58,syc,Rest,1:00:00 PM,1:35:00 PM,1
9/23/2025 14:59:28,khq,Work,1:30:00 PM,3:00:00 PM,1
9/23/2025 15:00:26,khq,Rest,3:00:00 PM,3:20:00 PM,1
9/23/2025 15:02:24,syc,Work,1:35:00 PM,3:00:00 PM,4
9/23/2025 15:02:39,syc,Rest,3:00:00 PM,3:20:00 PM,1
9/23/2025 17:35:19,khq,Work,3:20:00 PM,5:00:00 PM,3
9/23/2025 17:35:45,khq,Rest,5:00:00 PM,6:30:00 PM,1
9/23/2025 20:14:38,zjh,Work,1:35:00 AM,3:00:00 AM,3
9/23/2025 20:15:08,zjh,Rest,3:00:00 AM,3:20:00 AM,1
9/23/2025 20:15:30,zjh,Work,3:20:00 AM,4:30:00 AM,2
9/23/2025 20:15:58,zjh,Rest,4:30:00 AM,5:15:00 AM,1
9/23/2025 21:15:40,zyx,Work,2:00:00 PM,4:00:00 PM,2
9/23/2025 21:16:03,zyx,Work,4:00:00 PM,4:30:00 PM,3
9/23/2025 21:16:39,zyx,Food,4:30:00 PM,5:30:00 AM,1
9/23/2025 21:17:16,zyx,Fun,5:30:00 PM,6:45:00 PM,1
9/23/2025 21:17:53,zyx,Rest,6:45:00 PM,7:30:00 PM,1
9/23/2025 21:18:30,zyx,Fun,7:30:00 PM,9:20:00 PM,2
9/23/2025 22:38:36,zyx,Work,9:20:00 PM,10:40:00 PM,3
9/23/2025 23:37:09,khq,Food,6:30:00 PM,8:00:00 PM,1
9/23/2025 23:37:28,khq,Rest,8:00:00 PM,9:20:00 PM,1
9/23/2025 23:38:07,zyx,Fun,10:40:00 PM,11:30:00 PM,3
9/23/2025 23:38:58,khq,Work,9:20:00 PM,12:30:00 AM,1
9/24/2025 0:23:11,zyx,Rest,11:30:00 PM,12:30:00 AM,1
9/24/2025 0:23:39,zjh,Work,5:15:00 PM,9:15:00 PM,3
9/24/2025 0:24:09,zjh,Rest,9:15:00 PM,11:15:00 PM,1
9/24/2025 0:26:35,jky,Food,7:00:00 AM,8:00:00 AM,1
9/24/2025 0:26:58,jky,Work,8:00:00 AM,11:30:00 AM,2
9/24/2025 0:27:25,jky,Food,11:30:00 AM,1:30:00 PM,1
9/24/2025 0:27:50,jky,Work,1:30:00 PM,4:30:00 PM,3
9/24/2025 0:28:10,jky,Rest,4:30:00 PM,5:30:00 PM,1
9/24/2025 0:28:31,jky,Work,5:30:00 PM,8:00:00 PM,2
9/24/2025 0:28:54,jky,Fun,8:00:00 PM,11:30:00 PM,1
9/24/2025 0:29:13,jky,Rest,11:30:00 PM,7:30:00 AM,1
9/24/2025 1:06:34,zyx,Work,12:30:00 AM,1:05:00 AM,4
9/24/2025 1:35:19,zyx,Work,1:05:00 AM,1:35:00 AM,2
9/24/2025 1:49:38,zyx,Work,1:35:00 AM,1:50:00 AM,4
9/24/2025 9:03:31,syc,Work,3:30:00 PM,5:00:00 PM,4
9/24/2025 9:03:57,syc,Food,5:00:00 PM,6:00:00 PM,1
9/24/2025 9:04:27,syc,Rest,6:00:00 PM,8:00:00 PM,1
9/24/2025 9:04:53,syc,Work,8:00:00 PM,11:00:00 PM,4
9/24/2025 9:06:04,syc,Fun,11:00:00 PM,12:00:00 AM,1
9/24/2025 9:06:42,syc,Food,12:00:00 AM,12:20:00 AM,1
9/24/2025 9:07:22,syc,Fun,12:20:00 AM,1:20:00 AM,1
9/24/2025 9:08:52,zyx,Fun,1:50:00 AM,3:30:00 AM,1
9/24/2025 9:09:13,zyx,Rest,3:30:00 AM,9:00:00 AM,1
9/24/2025 10:01:38,zyx,Rest,9:00:00 AM,9:30:00 AM,1
9/24/2025 10:02:05,zyx,Work,9:30:00 AM,10:00:00 AM,3
9/24/2025 10:28:33,zjh,Work,9:00:00 AM,10:15:00 AM,4
9/24/2025 10:51:14,khq,Work,9:00:00 AM,10:30:00 AM,1
9/24/2025 10:53:22,khq,Rest,10:30:00 AM,10:53:00 AM,1
9/24/2025 10:53:49,zjh,Rest,10:30:00 AM,10:53:00 AM,1
9/24/2025 10:53:59,syc,Work,9:00:00 AM,10:30:00 AM,3
9/24/2025 10:54:19,syc,Rest,10:30:00 AM,10:55:00 AM,1
9/24/2025 11:45:44,khq,Work,10:53:00 AM,11:45:00 PM,1
9/24/2025 11:45:58,khq,Food,11:45:00 AM,1:20:00 PM,1
9/24/2025 14:29:56,khq,Work,1:26:00 PM,2:30:00 PM,1
9/24/2025 14:51:33,khq,Rest,2:30:00 PM,2:50:00 PM,1
9/24/2025 17:18:36,khq,Work,2:50:00 PM,4:00:00 PM,1
9/24/2025 17:18:57,khq,Rest,4:00:00 PM,5:15:00 PM,1
9/24/2025 20:36:05,khq,Work,5:15:00 PM,6:30:00 PM,1
9/24/2025 20:36:21,khq,Food,7:00:00 PM,8:00:00 PM,1
9/25/2025 20:36:21,khq,Work,8:10:00 PM,8:30:00 PM,1
9/26/2025 20:36:21,khq,Rest,8:30:00 PM,9:50:00 PM,1
9/27/2025 20:36:21,khq,Work,9:53:00 PM,10:23:00 PM,3
9/28/2025 20:36:21,khq,Rest,10:23:00 PM,11:00:00 PM,1
9/29/2025 20:36:21,khq,Work,11:00:00 PM,12:30:00 AM,1
9/25/2025 11:01:43,jky,Food,7:30:00 AM,8:00:00 AM,2
9/25/2025 11:02:01,jky,Work,8:00:00 AM,11:30:00 AM,2
9/25/2025 11:02:20,jky,Food,11:30:00 AM,12:30:00 PM,1
